timestamp,deviceName,cpuUsage,memUsage,netIn,netOut,lossRate
2026-07-14 08:00:00,核心路由器-02,38.5,50.2,168.5,108.3,0.01
2026-07-14 08:00:00,汇聚交换机-01,52.3,60.5,425.6,298.5,0.02
2026-07-14 08:00:00,汇聚交换机-02,45.8,55.6,385.2,268.4,0.03
2026-07-14 08:00:00,汇聚交换机-03,48.6,56.8,398.5,275.6,0.01
2026-07-14 08:00:00,防火墙-FW01,30.5,42.3,625.8,398.5,0.00
2026-07-14 08:00:00,防火墙-FW02,12.5,22.8,85.6,52.3,0.05
2026-07-14 08:00:00,应用服务器-01,62.8,68.5,98.5,72.6,0.02
2026-07-14 08:00:00,test1,35.2,45.6,185.5,125.3,0.01
2026-07-14 08:00:00,test2,28.6,38.5,156.8,108.6,0.01
2026-07-14 08:00:00,test3,22.5,35.8,285.6,185.4,0.00
2026-07-14 08:00:00,test4,18.8,30.2,225.5,152.6,0.01
2026-07-14 10:00:00,核心路由器-02,42.6,53.8,225.8,148.6,0.01
2026-07-14 10:00:00,汇聚交换机-01,60.5,68.2,528.6,375.5,0.03
2026-07-14 10:00:00,汇聚交换机-02,52.8,62.3,468.5,325.8,0.04
2026-07-14 10:00:00,汇聚交换机-03,55.6,62.8,485.6,338.5,0.02
2026-07-14 10:00:00,防火墙-FW01,35.8,46.5,756.8,485.6,0.01
2026-07-14 10:00:00,防火墙-FW02,15.8,28.5,125.6,78.5,0.06
2026-07-14 10:00:00,应用服务器-01,72.5,78.6,125.8,88.5,0.03
2026-07-14 10:00:00,test1,42.5,52.8,245.6,168.5,0.02
2026-07-14 10:00:00,test2,35.8,45.2,198.5,135.6,0.02
2026-07-14 10:00:00,test3,28.6,42.5,385.6,245.8,0.01
2026-07-14 10:00:00,test4,25.5,38.6,325.8,215.6,0.01
2026-07-14 14:00:00,核心路由器-02,40.8,52.5,205.6,135.8,0.01
2026-07-14 14:00:00,汇聚交换机-01,56.8,65.2,485.6,342.5,0.02
2026-07-14 14:00:00,汇聚交换机-02,50.5,60.8,425.8,298.6,0.03
2026-07-14 14:00:00,汇聚交换机-03,52.8,60.5,445.6,312.5,0.02
2026-07-14 14:00:00,防火墙-FW01,33.5,45.2,685.5,445.8,0.01
2026-07-14 14:00:00,防火墙-FW02,14.2,25.6,105.8,65.5,0.05
2026-07-14 14:00:00,应用服务器-01,68.5,75.2,115.6,82.5,0.03
2026-07-14 14:00:00,test1,38.5,48.5,225.5,152.6,0.02
2026-07-14 14:00:00,test2,32.5,42.8,178.5,122.5,0.01
2026-07-14 14:00:00,test3,25.8,38.5,345.8,225.6,0.01
2026-07-14 14:00:00,test4,22.5,35.2,285.6,188.5,0.01
2026-07-14 17:00:00,核心路由器-02,36.5,48.5,185.6,118.5,0.00
2026-07-14 17:00:00,汇聚交换机-01,50.2,58.6,385.6,268.5,0.02
2026-07-14 17:00:00,汇聚交换机-02,45.2,55.8,345.8,242.5,0.02
2026-07-14 17:00:00,汇聚交换机-03,48.5,56.2,365.5,255.8,0.01
2026-07-14 17:00:00,防火墙-FW01,30.2,42.5,585.6,375.8,0.00
2026-07-14 17:00:00,防火墙-FW02,11.8,22.5,95.5,58.6,0.04
2026-07-14 17:00:00,应用服务器-01,60.5,65.8,98.5,72.5,0.02
2026-07-14 17:00:00,test1,32.5,42.5,195.6,132.5,0.01
2026-07-14 17:00:00,test2,28.5,38.6,165.8,112.5,0.01
2026-07-14 17:00:00,test3,22.5,35.2,305.6,198.5,0.00
2026-07-14 17:00:00,test4,18.5,32.5,245.8,165.6,0.01
